ability_id,label,description
ability_agility,Agility,"""The physical capacity for swift, nimble, and graceful movement, allowing the creature to easily evade threats, navigate hazardous terrain, or strike with exceptional speed."""
ability_compassion,Compassion,"""The capacity for mercy and restraint toward the vulnerable; the creature spares those it has overcome, releases captives, and refrains from harming the weak."""
ability_accumulate_treasures,Treasure hoarding,"""The behavioral tendency to collect and guard valuable objects such as gold or precious stones."""
ability_archery,Archery,"""Exceptional skill with a bow and arrow."""
ability_blindness,Blindness,"""The condition of impaired or absent sight, whether innate, induced, or afflicting the creature; the inability to see, sometimes overcome by remedies or compensated by other senses."""
ability_courage,Courage,"""A behavioral disposition toward fearlessness and boldness in the face of danger, often attributed symbolically rather than as a physical trait."""
ability_dance,Dance,"""Rhythmic movement attributed to the creature, often in mythological or allegorical contexts."""
ability_deadly_scream,Deadly scream,"""A vocalization so powerful it causes death or severe harm to those who hear it."""
ability_fire_breathing,Fire breathing,"""The ability to exhale fire or intense heat, capable of burning living beings and objects."""
ability_fertility,Fertility,"""The biological or symbolic power to generate abundant life, ensure reproductive success, or bring vitality and growth to the surrounding environment, often associated with natural or divine blessings."""
ability_fight_elephant,Fight Elephant,
ability_fly,Flight,"""The capacity to move through the air using wings or other supernatural means."""
ability_healing,Healing,"""The ability to treat wounds and diseases through knowledge of herbs plants and natural remedies."""
ability_healing_tears,Healing tears,"""The unique medicinal property attributed to the secretions or lacrimal fluids of a creature, possessing the power to mend wounds, cure afflictions, or restore vitality to those they touch, often highlighting the creature's paradoxical nature as a source of both danger and salvation."""
ability_hypnotic_gaze,Hypnotic gaze,"""The capacity to exert control over the will, perceptions, or motor functions of another through direct visual contact; it induces a state of trance, paralysis, or psychological subjugation that renders the subject vulnerable to the creature's intent."""
ability_intellect,Intellect,"""The advanced cognitive capacity for abstract reasoning, problem-solving, strategic planning, or the acquisition of deep knowledge."""
ability_immortality,Immortality,"""The creature does not die of natural causes and may be immune to conventional means of harm."""
ability_killing_gaze,Killing gaze,"""The ability to cause instant death through direct eye contact, distinct from petrification."""
ability_lethal_breath,Lethal breath,"""Exhalation capable of killing living beings, scorching vegetation, and breaking stones."""
ability_lethal_hiss,Lethal hiss,"""A hissing sound capable of causing death or severe harm."""
ability_lethal_odor,Lethal odor,"""A smell so toxic it kills serpents and other creatures in proximity."""
ability_magic,Magic,"""The inherent power to manipulate reality, cast enchantments, or manifest supernatural phenomena through occult or supernatural means, transcending ordinary physical laws."""
ability_magical_powers,Magical powers,"""A general capacity to perform supernatural acts beyond the laws of nature, including enchantments, transformations, or other arcane feats."""
ability_magical_song,Magical song,"""The capacity to produce vocal melodies or auditory frequencies embedded with supernatural influence, capable of enchanting minds, manipulating emotions, or altering the physical environment of those who hear it."""
ability_manipulation,Manipulation,"""The deceptive or tactical capacity to influence, control, or exploit the behaviors, minds, or situations of others, often reflecting symbolic associations with cunning, betrayal, or malice."""
ability_petrifying_gaze,Petrifying gaze,"""The ability to turn living beings to stone through direct eye contact."""
ability_plague_spreading,Plague Spreading,"""The hazardous capacity or biological disposition to generate, harbor, and transmit deadly pestilence or infectious diseases, acting as an agent of widespread physical decay or divine judgment."""
ability_play_foot_castanet,Play foot castanet,"""A highly specific behavioral or anatomical skill where the creature produces rhythmic, clicking sounds using its feet or hooves, typically utilized for communication, distraction, or ritualistic displays."""
ability_play_the_flute,Play the flute,"""The ability to play a musical instrument, attributed symbolically or as a marker of the creature's connection to music and nature."""
ability_poisonous,Venomous,"""The creature produces or secretes a toxic substance capable of harming or killing through bite, touch, or breath."""
ability_posing_riddles,Posing Riddles,"""The intellectual capacity to challenge others through cryptic questions or complex linguistic puzzles; it functions as a test of wisdom or a mechanism for defense, requiring the interlocutor to provide a specific solution to avoid misfortune."""
ability_purify_water,Water purification,"""The ability to cleanse or sanctify bodies of water through presence or touch."""
ability_rebirth_from_fire,Rebirth from fire,"""The cyclical supernatural capacity to undergo complete physical destruction by fire only to emerge fully restored and rejuvenated from its own ashes, epitomizing ultimate renewal, resilience, and spiritual resurrection."""
ability_regenerate_lost_limbs,Regenerate lost limbs,"""The exceptional biological capacity to organically regrow, mend, or completely replace severed body parts or heavily damaged tissue, rendering the creature remarkably resilient against permanent physical trauma."""
ability_resolution,Resolution,"""Firmness of will and steadfast determination; the creature's resolute, unyielding disposition, located by the bestiaries in the head as the seat of its resolve."""
ability_self_destructive,Self-destruction,"""The creature is driven to destroy itself due to its internally contradictory nature, whether physiological, psychological, or ontological."""
ability_self_renewal,Self-renewal,"""The capacity to regenerate, rejuvenate, or be reborn, often cyclically."""
ability_shapeshifting,Shape shifting,"""he inherent biological or magical fluidity allowing a creature to alter its physical appearance, form, or species identity, effectively blurring the lines of its original manifestation to deceive, escape, or adapt to different environments."""
ability_sing,Singing,"""The ability to produce melodious vocalizations, often with enchanting or symbolic effects on listeners."""
ability_skin_shedding,Skin Shedding,"""The periodic sloughing of the outer skin to renew the body, by which the creature casts off its old self and regains its youth, as the snake squeezes through a narrow crack to shed its skin."""
ability_soporific,Soporific,"""The specialized power or chemical/auditory trait to induce deep, unnatural sleep or profound lethargy in other beings, leaving them incapacitated and vulnerable to the creature's intent."""
ability_speak_black_speech,Speak Black Speech,"""The capacity to speak the dark tongue of evil or infernal beings; articulate speech in a malign or forbidden language."""
ability_speech,Speech,"""The advanced intellectual and physiological capacity to articulate spoken language, enabling the creature to communicate complex thoughts, negotiate, deceive, or impart hidden wisdom to humans."""
ability_speed,Speed,"""Exceptional swiftness of movement on land, in water, or in the air."""
ability_strength,Strength,"""Exceptional physical power, allowing the creature to overpower prey or enemies through brute force."""
ability_sunlight_petrification,Sunlight Petrification,"""The power, or vulnerability, by which exposure to sunlight turns a creature to stone; petrifaction induced by daylight."""
ability_swim,Swimming,"""The ability to move efficiently through water."""
ability_swim_in_air,Swim in the air,"""The capacity to move through the air as though swimming through water, flying in constant, fluid motion without the aid of wings."""
ability_trumpet_voice,Trumpet Voice,"""The physical capacity to emit an exceptionally loud, resonant, and piercing vocalization resembling a brass instrument, used to signal danger, terrify enemies, or assert dominance over a vast territory."""
ability_untameable,Untameable,"""The absolute behavioral resistance to subjugation, domestication, or human control; it reflects an unyielding nature and an innate commitment to wild autonomy that defies all efforts of mastery."""
ability_venomous,Venomous,"""The biological trait of producing and delivering toxic secretions through bites, stings, or skin contact, capable of inflicting severe illness, paralysis, or agonizing death upon adversaries."""
ability_weather_control,Weather Control,"""The majestic supernatural capacity to summon, alter, or pacify atmospheric conditions, allowing the creature to command storms, winds, rain, or lightning to shape its immediate environment."""
ability_wine_drinking,Wine Drinking,"""An exceptional or culturally distinctive relationship with wine consumption, often associated with loss of rational control, festivity, or ritual behavior."""