archetype_id,related_to,meaning 
archetype_abandoned_child,archetype_shameful_offspring,"""The exposed or forsaken infant, left to fate yet often marked for a special destiny."""
archetype_androgynous,,"""The androgynous is a symbol of unity and completeness, representing the integration and armonization of the polarities of the human being."""
archetype_anti_fairy_tale,,"""Here the character subverts the traditional figure of the evil and goes over a personal and interior journey where it becomes the story hero."""
archetype_belief,,"""The embodiment of belief without belief, her magic fades, that things exist only so long as we believe in them."""
archetype_chaos,archetype_violence,"""It represents confusion and darkness, symbolizing primordial nature and the indefinitive principle from which everything arises."""
archetype_chritsmas_elf ,,"""Lives with Santa Claus at the North Pole and acts as his helper. Christmas elves are usually depicted as green- or red-clad, with large, pointy ears and wearing pointy hats."""
archetype_constancy,,"""Steadfast faithfulness and devotion, unwavering even unto death."""
archetype_cosmic,,"""The universal principle or force operating on a cosmic scale, beyond the human."""
archetype_darkness ,,"""They are often linked to shadows, darkness, and the chthonic aspects of the world, such as death, magic, and the hidden forces of nature."""
archetype_defiance,,"""The figure that stands against oppressive patriarchal symbols of power, an empowered figure of defiance."""
archetype_divided_self,,"""A figure torn between animal impulse and human consciousness, embodying the internal conflict between instinct and reason."""
archetype_divine_power,archetype_semi_divine;archetype_cosmic,"""The manifestation of godhead and sacred might, the power proper to a deity."""
archetype_divine_punishment,,"""Retribution inflicted by the gods for transgression, the sacred sanction against hubris."""
archetype_emasculation,,"""Privation of the vital force, sovereignty, or active identity. It represents the transition from a place of autonomy and force to a state of submission, fragmentation, or sterile softness."""
archetype_enigma,,"""The riddle-bearer, embodying hidden knowledge and the demand for interpretation."""
archetype_evil,,"""The embodiment of malevolence and moral corruption."""
archetype_exotic_marvel,,"""Represents the classic archetype of geographic alterità, other countries seen as spaces full of weird creatures to document and organize."""
archetype_fertility,,"""The generative principle of abundance, reproduction, and the renewal of life."""
archetype_godmother,,"""The benevolent supernatural protector who guides and aids the protagonist."""
archetype_guardian_hell,archetype_evil,"""The infernal gatekeeper who guards the threshold of the underworld."""
archetype_guardian_threshold,archetype_guardian_hell,"""A powerful figure stationed at the boundary between worlds or states of being, controlling access to forbidden or sacred spaces."""
archetype_healing,,"""The restorative power that cures, mends, and brings back to health."""
archetype_hypocrisy,archetype_divided_self,"""The figure whose outward appearance or speech professes virtue while concealing or enacting baseness and vice, embodying the moral duplicity of one who says truth but does villainy."""
archetype_immortality,archetype_rebirth,"""Deathlessness, the state of never dying or perishing."""
archetype_innocence,archetype_purity,"""The pure, guiltless figure untouched by malice or corruption."""
archetype_justice,,"""The principle of right order and equitable judgment."""
archetype_love,,"""The embodiment of devoted, transcendent love."""
archetype_magic_folk,,"""The race of magical beings standing apart from ordinary humanity."""
archetype_metamorphosis,,"""The principle of transformation and change of form as such."""
archetype_mourner,archetype_mourner,"""The figure defined by grief and lament for a loss."""
archetype_natural_man,,"""A human being reconducted to his biological state and primordial existence, deprived from cultural superstructure."""
archetype_natural_marvel,,"""The wonder of the natural world rationalized as a marvel rather than a monster."""
archetype_parasite,,"""An organism whose life depends on the exploitation of another being, causing damage to it."""
archetype_poetic_inspiration,,"""Represents the poetic inspiration that the muses give to have the spontaneous artistic and intellectual brilliance."""
archetype_power,,"""Worldly sovereignty and dynastic might, the power of rule and dominion."""
archetype_predatory_lust,archetype_violence,"""The embodiment of destructive male desire and moral bestiality, representing the abuse of power driven by animal instinct over rational and ethical constraint."""
archetype_pride,,"""Overweening self-exaltation, the vice of superbia. archetype_prima_materia The alchemical first matter, the base substance of transformation."""
archetype_prima_materia,archetype_cosmic,"""The role of shielding and safeguarding from harm."""
archetype_protection,,"""The role of shielding and safeguarding from harm."""
archetype_purity,,"""In medieval times it represents moral purity and the untouchable nature of the soul also related to verginity."""
archetype_raw_instinct,,"""Represents raw and primal fears like famine, lack of intelligence and the danger of the wilderness, sometimes also misunderstood outcast."""
archetype_rebirth,archetype_metamorphosis,"""Death reintegrated as a prelude to renewal; the cycle of dying and returning to new life."""
archetype_resilience,archetype_defiance,"""The figure of endurance that withstands and recovers from oppression or adversity."""
archetype_seduction,archetype_raw_instinct,"""Someone who tries to induce or attract someone to guilt, sin, or to do something that one should not; the danger of untamed mundane passions and the uncontrolled urges of the flesh."""
archetype_semi_divine,,"""Represents immortal beings, of noble character and superior skills."""
archetype_shameful_offspring,archetype_abandoned_child,"""A creature born of transgression and condemned to concealment, embodying the social and moral need to hide the consequences of forbidden desire."""
archetype_spirit,,"""The numinous animating presence, a being of pure spirit or nature."""
archetype_strenght,archetype_protection,"""Heroic physical power and might."""
archetype_sublime,,"""The fusion of terror and beauty into an overwhelming aesthetic."""
archetype_uncanny,archetype_sublime,"""The unsettling familiarity-in-strangeness that provokes dread."""
archetype_victim,archetype_abandoned_child,"""The wronged or suffering figure, harmed and made vulnerable by others."""
archetype_violence,,"""Brute destructive force and aggression."""
archetype_wisdom,archetype_enigma,"""Deep knowledge, insight, sagacity, and the grasp of truth."""
archetype_scientific_transgression,archetype_shameful_offspring,"""The creature born of forbidden knowledge and technical hubris, produced by the violation of natural boundaries through human artifice rather than divine or monstrous agency."""