citation_id,interpretation_id,source_id,"sequence_identifier","passage"
citation_paré_2,int_anomaly_paré_1,source_monstres_prodiges,"""Capitolo 9: Esempi di mostri craeti dall'immaginazione""","""Damasceno - un autore serio - afferma di aver visto una ragazza pelosa come un orso, uscita dal ventre della madre così deforme e orripilante perché questa al momento di concepirla aveva guardato troppo intensamente l'immagine di un san Giovanni vestito di pelli e pieno di peli che era collocata ai piedi del letto."""
citation_paré_3,int_mostro_paré_2,source_monstres_prodiges,"""Capitolo 36: Dei mostri terrestri""","""[...] dice che in Africa si trova un animale che i selvaggi chiamano haiit, molto deforme; chi lo vede stenta a credere che esista una bestia tale. Può raggiungere la grandezza di un grosso guenon. La sua pancia pende quasi fino a terra anche quando sta ritto. Il suo viso e la testa sono pressoché uguali a quelli di un bambino. Questo haiit, se viene catturato, getta dei profondi sospiri paragonabili a quelli che un uomo afflitto da un grande ed eccessivo dolore emetterebbe. È di color grigio e ha solo tre artigli per zampa lunghi quattro dita e fatti a forma delle ossa di una carpa; con questi artigli, che sono taglienti tanto quanto - o anche più taglienti - di quelli di un leone o di altre bestie crudeli, egli monta sugli alberi, dove preferisce vivere piuttosto che in terra. La sua coda è lunga solo tre dita. È inoltre strano che nessun uomo abbia mai potuto dire di averlo visto mangiare cosa alcuna, sebbene i selvaggi ne abbiano tenuto a lungo alcuni nelle proprie capanne per vedere se avrebbero mangiato qualcosa; i selvaggi dicevano che vivevano di vento."""
citation_paré_4,int_mostro_paré_3,source_monstres_prodiges,"""Capitolo 19: Esempi della commistione e della mescolanza del seme""","""Nel 1493 venne concepito e generato un bambino da una donna e da un cane. Le parti sopra l'ombelico erano nella forma e nell'aspetto simili alla madre ed era in tutto e per tutto completo senza che la Natura avesse omesso nulla; dall'ombelico in giù tutte le parti inferiori assomigliavano, nella forma e nell'aspetto, all'animale che era il padre. Questo essere fu inviato al Papa che regnava in quel periodo."""
citation_paré_5,int_anomaly_paré_2,source_monstres_prodiges,"""Capitolo 19: Esempi della commistione e della mescolanza del seme""","""Nell'anno in corso 1577 nacque, nel villaggio chiamato Blandy, a una lega e mezzo da Melun, un agnello con tre teste in una; quella di mezzo era più grossa delle altre e quando una di queste teste belava, le altre facevano la stessa cosa. Maestro Jean Bellanger, un chirurgo abitante della città di Melun, afferma d'averlo visto e di averne fatto ritrarre l'aspetto; il ritratto fu messo all'asta e fu venduto qui a Parigi col privilegio assieme a quelli di altri due mostri: uno di due figlie gemelle e un altro con la faccia di rana raffigurato in un'immagine precedente."""
citation_paré_6,int_mostro_paré_4,source_monstres_prodiges,"""Capitolo 34: Ora parliamo di mostri marini""","""Gesner menziona questo mostro marino, di cui aveva ottenuto il ritratto da un pittore che lo aveva visto nel suo ambiente naturale in Antwerp: aveva una testa molto selvaggia con due corna, le orecchie lunghe e il resto del corpo da pesce, con l'eccezione delle braccia che erano quasi normali. Fu catturato nel mare Illirico quando si gettò sulla spiaggia nel tentativo di prendere un piccolo bambino che era lì vicino; inseguito da alcuni marinai che l'avevano visto, fu ferito a colpi di sassi e poco dopo venne sulla banchina a morire."""
citation_paré_7,int_mostro_paré_5,source_monstres_prodiges,"""Capitolo 34: Ora parliamo di mostri marini""","""Questo mostro marino, con la testa, la criniera e il davanti equino fu visto nel mare Oceano; il suo ritratto fu portato a Roma al papa allora regnante."""
citation_paré_8,int_anomaly_paré_3,source_monstres_prodiges,"""Capitolo 8: Esempi di carenza di seme""","""Il primo novembre 1562 nacqua a Villefranche de Beyan in Guascogna questo mostro senza testa. L'immagine frontale e dorsale qui riprodotta mi è stata fornita dal Signor Hautin, medico reggente nella Facoltà di Medicina di Parigi, che mi ha assicurato di averlo visto."""
citation_paré_9,int_anomaly_paré_4,source_monstres_prodiges,"""Capitolo 4: Esempi di eccesso di seme""","""A proposito della genesi dei mostri, Ippocrate afferma che una eccessiva quantità di materia può generare un numero eccessivo di nati, oppure un infante mostruoso con parti superflue e inutili, tipo due teste, quattro braccia, quattro gambe, sei dita nelle mani o nei piedi, eccetera. [...] Sarà opportuno ricordare a questo punto che a proposito di questa donna-mostro Licostene aggiunge una notizia strabiliante: raddoppiandone la testa, la natura non aveva tralasciato nulla, tant'è che le due teste, egli dice, avevano lo stesso desiderio di bere, di mangiare, e di dormire e uguali erano il loro modo di parlare e il loro modo di sentire. Questa ragazza andava a chiedere l'elemosina di casa in casa e la gente le offriva volentieri qualcosa per l'eccezionalità del fenomeno, così straordinario e nuovo. Ciononostante, trascorso un po' di tempo, ella fu bandita dal ducato di Baviera perché si era diffusa la voce che la sua presenza poteva deformare il frutto delle donne gravide, in quanto l'aspetto di questa creatura così mostruosa poteva imprimere e fissare la propria forma nella loro immaginativa."""
citation_perrault_1,int_fairy_perrault,source_cinderella_perrault,"""Tale VI, Cinderella ""","""Well, be but a good girl, and I will contrive, that thou shalt go. Run into the garden, and bring me a pumpkin."""
citation_peter_pan_1,int_fairy_disney,source_peter_pan ,,"""Tink was not all bad: or, rather, she was all bad just now, sometimes she was all good. Fairies have to be one thing or the other, because being so small they unfortunately have room for one feeling only at a time."""
citation_pharsalia_1,int_basilisk_lucano,source_pharsalia,"""Book IX""","""Quel suol però sí sterile, e que' campi / Di niun bene fecondi, un tosco atroce / Concepiscono in lor dalle corrotte Gocciole di Medusa [...] Ivi dispiega [...] e'l Basilisco horrendo / (Che Sibili tramanda, onde rimane / Ogni serpe atterrito, e pria che sparga / Il veleno, dà morte) il serpentino / Volgo da sé rimove, e in vuote arene / Solo il regno ritien."""
citation_physiologus_1,int_antlion_physiologus,source_physiologus,,"""It had the face (or fore-part) of a lion and the hinder parts of an ant. Its father eats flesh, but its mother grains. If they engender the ant-lion, they engender a thing of two natures, such that it cannot eat flesh because of the nature of its mother, nor grains because of the nature of its father. It perishes, therefore, because it has no nutriment."""
citation_plato_1,int_hermaphrodite_plato,source_symposium,"""189d""","""The sexes were not two as they are now, but originally three in number; there was man, woman, and the union of the two, having a name corresponding to this double nature, which had once a real existence, but is now lost, and the word 'Androgynous' is only preserved as a term of reproach. In the second place, the primeval man was round, his back and sides forming a circle; and he had four hands and four feet, one head with two faces, looking opposite ways, set on a round neck and precisely alike; also four ears, two privy members, and the remainder to correspond. He could walk upright as men now do, backwards or forwards as he pleased, and he could also roll over and over at a great pace, turning on his four hands and four feet, eight in all, like tumblers going over and over with their legs in the air; this was when he wanted to run fast. Now the sexes were three, and such as I have described them; because the sun, moon, and earth are three; and the man was originally the child of the sun, the woman of the earth, and the man-woman of the moon, which is made up of sun and earth, and they were all round and moved round and round like their parents."""
citation_plinio_1,int_sphinx_plinio,source_naturalis_historia,"""Book XXXVI, paragraph 17""","""Prima che delle piramidi, bisogna parlare della Sfinge, monumento che meriterebbe addirittura una trattazione più ampia. Ma su di essa c'è silenzio: gli abitanti la considerano una divinità. Ritengono che vi sia sepolto il re Harmais e vogliono credere che sembri costruita con materiale portato colà. È invece scolpita nella pietra viva, ed il volto rosso del mostro è oggetto di culto; la circonferenza di esso all'altezza della fornte raggiunge i 102 piedi; la lunghezza dell'intera statua è di 143 piedi e l'altezza del ventre fino al vertice dell'aspide che sta sul capo è 61 piedi e mezzo."""
citation_plinio_2,int_satyr_pliny,source_naturalis_historia,"""Book VII, paragraph 24""","""Among the mountainous districts of the eastern parts of India, in what is called the country of the Catharcludi, we find the Satyr, an animal of extraordinary swiftness. These go sometimes on four feet, and sometimes walk erect; they have also the features of a human being. On account of their swiftness, these creatures are never to be caught, except when they are either aged or sickly."""
citation_plinio_3,int_phoenix_plinio,source_naturalis_historia,"""Book X, paragraph 2""","""The story is that it is as large as an eagle, and has a gleam of gold round its neck and all the rest of it is purple, but the tail blue picked out with rosecoloured feathers and the throat picked out with tufts, and a feathered crest adorning its head."""
citation_plinio_4,int_dragon_plinio,source_naturalis_historia,"""Book VIII, paragraph 11""","""In Africa nascono elefanti al di là dei deserti delle Sirti ed in Mauritania, ed anche nei territori degli Etiopi e dei Trogloditi, come si è già detto; ma l'India produce gli esemplari più grandi, ed enormi draghi-serpenti che combattono con essi in perpetua discordia, di tali dimensioni anche questi che facilmente riescono ad avvolgere un elefante nelle loro spire e a stringerlo nella stretta del loro nodo. Questo combattimento provoca la morte di entrambi i contendenti, perché l'elefante sconfitto, cadendo, col suo peso schiaccia il drago-serpente che lo tiene avvinto."""
citation_plinio_5,int_manticore_plinio,source_naturalis_historia,"""Book VIII, paragraph 30""","""C'è in Etiopia un animale chiamato manticora, il quale ha tre ordini di denti connessi come quelli d'un pettine, faccia e orecchie d'uomo, occhi azzurri, corpo cremisi di leone, e coda terminante in aculeo come di scorpione. Corre con somma rapidità ed è amantissimo della carne umana; la sua voce è come un concerto di flauto e tromba."""
citation_plinio_6,int_goat_plinio,source_naturalis_historia,"""Book VIII, paragraph 41""","""Goats use ivy and a diet consisting mostly of crabs thrown up from the sea [to cure themselves of sickness]. Mucianus has described a case of this animal's cleverness seen by himself - two goats coming in opposite directions met on a very narrow bridge, and as the narrow space did not permit them to turn round and the length did not allow of backing blindly on the scanty passageway with a rushing torrent flowing threateningly below, one of them lay down and so the other one passed over, treading on top of it... according to Archelaus they breathe through the ears, not the nostrils, and are never free from fever: this is perhaps the reason why they are more high-spirited than sheep and hotter in coupling. It is said that goats can see by night as well as they can in the daytime, and that consequently a diet of goat's liver restores sight to persons suffering from what is called night-blindness.They say that she-goats in the pastures when the sun is setting do not look at one another but He down with their backs to each other, though at other times of the day they lie facing each other and take notice of one another. Their bite kills a tree; they make an olive tree barren even by licking it, and for this reason they are not offered in sacrifice to Minerva. Herds of goats also have their special reputation for cheese, in the case of fresh cheese especially when smoke increases its flavor, as with the supremely desirable cheese made in the city itself; for the cheese of the Gallic goats always has a strong medicinal taste. The horn or hair of she-goats, when burnt, is said to keep serpents away, and the ash from the horn, whether taken in drink or applied, to be efficacious for their bites; as are also draughts of their milk with taminian grapes, or of their urine with squill vinegar; so too an application of goat cheese with marjoram, or of goat suet with wax. Thousands of remedies besides from the goat are given in prescriptions, as will be pointed out; this is surprising to me, because it is said never to be free from fever.."""
citation_plinio_7,int_scorpion_plinio,source_naturalis_historia,"""Book XI, paragraph 30""","""Land scorpions also like spiders produce grubs resembling eggs and die in the same way as spiders; they are a horrible plague, poisonous like snakes, except that they inflict a worse torture by dispatching the victim with a lingering death lasting three days, their wound being always fatal to girls and almost absolutely so to women, but to men only in the morning, when they are coming out of their holes, before they emit their yet unsated poison by some accidental stroke. Their tail is always engaged in striking and does not stop practicing at any moment, lest it should ever miss an opportunity it strikes both a sideways stroke and one with the tail bent up."""
citation_plinio_8,int_basilik_plinio,source_naturalis_historia,"""Book VIII, paragraph 33 ""","""The basilisk serpent also has the same power. It is a native of the province of Cyrenaica, not more than 12 inches long, and adorned with a bright white marking on the head like a sort of diadem. It routs all snakes with its hiss, and does not move its body forward in manifold coils like the other snakes but advancing with its middle raised high. It kills bushes not only by its touch but also by its breath, scorches up grass and bursts rocks. Its effect on other animals is disastrous."""
citation_poem_hermaphroditus,int_hermaphrodite_swinburne,source_poem_hermaphroditus,"""Verse 17-21""","""Where between sleep and life some brief space is, / With love like gold bound round about the head, / Sex to sweet sex with lips and limbs is wed, / Turning the fruitful feud of hers and his / To the waste wedlock of a sterile kiss."""
citation_rochester_1,int_manticore_rochester,source_rochester_bestiary,"""Folio 27r""","""The manticore is a beast born in India. It has three rows of teeth that intertwine like the teeth of a comb. It has the face of a human, greyish-blue eyes and a blood-red colour. It has a leonine body, and its tail resembles a scorpion's sting. It has a sharp, hissing voice similar to the sound of flutes and bagpipes. It eagerly longs for human flesh. It is so swift and jumps so high that neither the vastest areas nor the most insuperable obstacles can force it to die."""
citation_rowling_1,int_sphinx_rowling_harry,source_harry_potter_book_4,"""Chapter 31""","""It was a sphinx. It had the body of an over-large lion: great clawed paws and a long yellowish tail ending in a brown tuft. Its head, however, was that of a woman. She turned her long, almond-shaped eyes upon Harry as he approached. He raised his wand, hesitating. She was not crouching as if to spring, but pacing from side to side of the path, blocking his progress. Then she spoke, in a deep, hoarse voice."""
citation_rowling_10,int_centaur_rowling_harry,source_harry_potter_book_1,"""Chapter 15""","""A centaur was standing over him, not Ronan or Bane; this one looked younger; he had white-blond hair and a palomino body. [...] The centaur didn’t answer. He had astonishingly blue eyes, like pale sapphires. He looked carefully at Harry, his eyes lingering on the scar which stood out, livid, on Harry’s forehead. ‘You are the Potter boy,’ he said. ‘You had better get back to Hagrid. The Forest is not safe at this time – especially for you. Can you ride? It will be quicker this way.'"""
citation_rowling_2,int_hippogriff_rowling_harry,source_harry_potter_book_3,"""Chapter 6""","""Trotting toward them were a dozen of the most bizarre creatures Harry had ever seen. They had the bodies, hind legs, and tails of horses, but the front legs, wings, and heads of what seemed to be giant eagles, with cruel, steel-colored beaks and large, brilliantly, orange eyes. The talons on their front legs were half a foot long and deadly looking. Each of the beasts had a thick leather collar around its neck, which was attached to a long chain, and the ends of all of these were held in the vast hands of Hagrid, who came jogging into the paddock behind the creatures."""
citation_rowling_3,int_phoenix_rowling,source_fantastic_beasts,,"""The phoenix is a magnificent, swan-sized, scarlet bird with a long golden tail, beak, and talons. It nests on mountain peaks and is found in Egypt, India, and China. The phoenix lives to an immense age as it can regenerate, bursting into flames when its body begins to fail and rising again from the ashes as a chick. The phoenix is a gentle creature that has never been known to kill and eats only herbs. Like the Diricaw, it can disappear and reappear at will. Phoenix song is magical; it is reputed to increase the courage of the pure of heart and to strike fear into the hearts of the impure. Phoenix tears have powerful healing properties."""
citation_rowling_4,int_sphinx_rowling_fantastic,source_fantastic_beasts,,"""The Egyptian sphinx has a human head on a lion’s body. For over a thousand years it has been used by witches and wizards to guard valuables and secret hideaways. Highly intelligent, the sphinx delights in puzzles and riddles. It is usually dangerous only when what it is guarding is threatened."""
citation_rowling_5,int_hippogriff_rowling_fantastic,source_fantastic_beasts,,"""The Hippogriff is native to Europe, though now found worldwide. It has the head of a giant eagle and the body of a horse. It can be tamed, though this should be attempted only by experts. Eye contact should be maintained when approaching a Hippogriff. Bowing shows good intentions. If the Hippogriff returns the greeting, it is safe to draw closer. The Hippogriff burrows for insects but will also eat birds and small mammals. Breeding Hippogriffs build nests upon the ground into which they will lay a single large and fragile egg, which hatches within twenty-four hours. The fledgling Hippogriff should be ready to fly within a week, though it will be a matter of months before it is able to accompany its parent on longer journeys."""
citation_rowling_6,int_dragon_rowling_fantastic,source_fantastic_beasts,,"""Probably the most famous of all magical beasts, dragons are among the most difficult to hide. The female is generally larger and more aggressive than the male, though neither should be approached by any but highly skilled and trained wizards. Dragon hide, blood, heart, liver, and horn all have highly magical properties, but dragon eggs are defined as Class A Non-Tradeable Goods. There are ten breeds of dragon, though these have been known to interbreed on occasion, producing rare hybrids."""
citation_rowling_7,int_dragon_rowling_harry,source_harry_potter_book_4,"""Chapter 19""","""Four fully grown, enormous, vicious-looking dragons were rearing onto their hind legs inside an enclosure fenced with thick planks of wood, roaring and snorting - torrents of fire were shooting into the dark sky from their open, fanged mouths, fifty feet above the ground on their outstretched necks. There was a silvery-blue one with long, pointed horns, snapping and snarling at the wizards on the ground; a smooth-scaled green one, which was writhing and stamping with all its might; a red one with an odd fringe of fine gold spikes around its face, which was shooting mushroom-shaped fire clouds into the air; and a gigantic black one, more lizardhike than the others, which was nearest to them."""
citation_rowling_8,int_basilisk_rowling_fantastic,source_fantastic_beasts,,"""[…] a chicken egg hatched beneath a toad would produce a gigantic serpent possessed of extraordinarily dangerous powers. The Basilisk is a brilliant green serpent that may reach up to fifty feet in length. The male has a scarlet plume upon its head. It has exceptionally venomous fangs but its most dangerous means of attack is the gaze of its large yellow eyes. Anyone looking directly into these will suffer instant death."""
citation_rowling_9,int_centaur_rowling_fantastic,source_fantastic_beasts,,"""The centaur has a human head, torso and arms joined to a horse’s body which may be any of several colours. Being intellinge and capable of speech, it should not strictly speaking be termed a beast […]. The centaur is forest-dwelling. […] They live in herds ranging in size from ten to fifty members. They are reputed to be well-versed in magical healing, divination, archery and astronomy.'"""
citation_shakespeare_1,int_phoenix_shakespeare,source_phoenix_and_turtle_shakespeare,"""Verse 21-24""","""Here the anthem doth commence: / Love and constancy is dead, / Phoenix and the Turtle fled / In a mutual flame from hence."""
citation_shakespeare_2,int_mandrake_shakespeare,source_romeo_and_juliet,"""Act IV, scene 3""","""Alack, alack, is it not like that I, / So early waking, what with loathsome smells, / And shrieks like mandrakes torn out of the earth, / That living mortals, hearing them, run mad –"""
citation_shelley_1,int_medusa_shelley,source_on_the_medusa,,"""I. / It lieth, gazing on the midnight sky, / Upon the cloudy mountain-peak supine; / Below, far lands are seen tremblingly; / Its horror and its beauty are divine. / Upon its lips and eyelids seems to lie / Loveliness like a shadow, from which shine, / Fiery and lurid, struggling underneath, / The agonies of anguish and of death. / II. / Yet it is less the horror than the grace / Which turns the gazer's spirit into stone, / Whereon the lineaments of that dead face / Are graven, till the characters be grown / Into itself, and thought no more can trace; / 'Tis the melodious hue of beauty thrown / Athwart the darkness and the glare of pain, / Which humanize and harmonize the strain. / III. / And from its head as from one body grow, / As grass out of a watery rock, / Hairs which are vipers, and they curl and flow / And their long tangles in each other lock, / And with unending involutions show / Their mailed radiance, as it were to mock / The torture and the death within, and saw / The solid air with many a ragged jaw. / IV. / And, from a stone beside, a poisonous eft / Peeps idly into those Gorgonian eyes; / Whilst in the air a ghastly bat, bereft / Of sense, has flitted with a mad surprise / Out of the cave this hideous light had cleft, / And he comes hastening like a moth that hies / After a taper; and the midnight sky / Flares, a light more dread than obscurity. / V. / 'Tis the tempestuous loveliness of terror; / For from the serpents gleams a brazen glare / Kindled by that inextricable error, / Which makes a thrilling vapour of the air / Become a and ever-shifting mirror / Of all the beauty and the terror there-- / A woman's countenance, with serpent-locks, / Gazing in death on Heaven from those wet rocks."""
citation_shrek_1,int_ogre_shrek,source_shrek,,"""It's the world that seems to have a problem with me. People take one look at me and go, 'Ah! Help! Run! Big, stupid, ugly ogre!' They judge me before they even know me."""
citation_sturluson_1,int_troll_prose_edda,source_prose_edda,"""Paragraph 53""","""Trolls call me moon of dwelling-Rungnir, giant's wealth-sucker, storm-sun's bale, seeress's friendly companion, guardian of corpse-fiord, swallower of heaven-wheel; what is a troll other than that?"""
citation_sturluson_2,int_elf_sturluson,source_prose_edda,,"""There is one place that is called Álfheimr. There live the folk called Light-Elves, but the Dark-Elves live down in the ground, and they are unlike them in appearance, and even more unlike them in nature. Light-Elves are fairer than the sun to look at, but Dark-Elves are blacker than pitch."""
citation_tasso_1,int_phoenix_tasso,source_mondo_creato,"""Giornata V""","""Tra queste piante, e 'n quella selva alberga / Appresso 'l fonte l'unica Fenice, / Che della morte sua rinasce e vive: / Augello eguale alle celesti forme, / che vivace le stelle adegua, e 'l tempo / Consuma, e vince con rifatte membra. / E come sia del Sol gradita ancella, / Ha questo da natura officio, e dono, / Che quand'in cielo ad apparir comincia / Sparsa di rose la novella Aurora, / E dal ciel caccia le minute stelle; / Ella tre volte e quattro in mezzo all'acque / Sommerge 'l corpo, e pur tre volte e quattro / Liba quel dolce umor del vivo gorgo. / Poscia a volo s'innalza, e siede in cima / Dell'arbore frondosa, e quinci intorno / La selva tutta signoreggia e mira : [...] / Ma poi, forniti cento e cento lustri, / Nella vetusta età più grave e tarda, / Ella, che già passare a volo i nembi / Poteva, e le sonore, alte procelle, /  Per rinnovar la stanca vita, e 'l tempo / Chiuso, e ristretto pur da spazi angusti, / Fugge del bosco usato il dolce albergo. /  E di rinascer vaga, i lochi sacri / Addietro lascia, e vola al nostro mondo, / Ov'ha suo regni l'importuna morte. / E già drizza invecchiata 'l lento volo / In quella di Soría famosa parte, / A cui died'ella di Fenice 'l nome. / E di selve deserte ivi ricerca / Per non calcate vie secreta stanza, / E si ricovra nell'oscuro bosco. / Ed allor coglie dell'aereo giogo / Forte palma sublime, a cui pur anco / Comparti di Fenice 'I caro nome, / Cui romper non potria co' feri denti / Serpe squammosa, o pure augel rapace, / Od altra ingiuríosa orrida belva. / E chiusi allor nelle spelonche i venti / Taccion fra' cavernosi orridi chiostri, / Per non turbar co' lor torbidi spirti / Del bell'aer purpureo 'l dolce aspetto. / Nè condensato turbo i vani campi / Del ciel ricopre, ed al felice Augello / Toglie la vista de soavi raggi. / Quinci 'l nido si fa: sia nido, o tomba / Quello, in cui pere, accio rinasca, e viva L'Augel, che di se stesso è padre e figlio, / E se medesmo egli produce e cria. [...] / Sparge poi colla bocca i dolci succhi / Intorno, e sovra alle sue proprie membra. / Ivi l' esequie sue si fa morendo: / E debol già con lusinghieri accenti / Saluta 'l Sole, anzi l'adora, e placa : / E mesce umil preghiera all' umil canto, / Chiedendo i cari incendj, onde risorga / Col nuovo acquisto di perpetua forza. / Fra'vari odori poi l'alma spirante / Raccomanda al sepolcro; e nou paventa / L'ardita fede di si caro pegno. / Parte di vital morte 'l corpo estinto / S'accende, e l'ardor suo fiamme produce, / E del lume lontan concepe 'I foco, / Ond' egli ferve oltra misura, e flagra, / Lieto del suo morir, perchè veloce / Al rinascer di nuovo egli s' affretta. / Splende quasi di stelle ardenti 'l rogo, / E consuma l già lasso e pigro veglio. / La Luna'l corso suo raffrena e tarda, E par che tema in quel mirabil parto / Natura faticosa, e stanca madre, / Che non si perda l'immortale Augello; / Ma di gemina vita in mezz'al foco /  Posto in dubbio confin distingue e parte. / Nelle ceneri aduste alfin converso, / Le sue ceneri accolte egli raduna / In massa condensate, e quasi in vece / È l'occulta virtù d'interno seme. / E quinci prima l'animal ci nasce, / E 'n forma d'ovo si raccoglie 'n giro, / Poi si riforma nel primier sembiante: / E dalle nuove sue squarciate spoglie /Alfin germoglia l'immortal Fenice."""
citation_thaon_1,int_onocentaur_thaon,source_thaon_bestiary,,"""[...] the onocentaur, which has the shape of a man down to the waist, and behind has the make of an ass, by great reason; Ονος, in Greek, is the name given to an ass; thus they call it; hear what signifies a beast of such a quality. Man, when he says truth, is rightly named man, and ass, signifies, when he does villany'"""
citation_theophilus_1,int_basilisk_theophilus,source_schedula_theophilus,,"""the heathen, who are said to be skilled in this art, produce basilisks for themselves in this way. They have a structure under the ground [...] In this they place two old fowls, twelve or fifteen years old, and they give them plenty to eat. When they have become plump, with the heat of their fatness they copulate and lay eggs. When these have been laid, the fowls are taken away and toads are introduced to sit on the eggs, and bread is given them for food. When the eggs are hatched, male chicks emerge like hens' chicks. After seven days they grow the tails of serpents."""
citation_tolkien_1,int_dragon_tolkien,source_the_hobbit,"""Chapter 12""","""There he lay, a vast red-golden dragon, fast asleep; thrumming came from his jaws and nostrils, and wisps of smoke, but his fires were low in slumber. Beneath him, under all his limbs and his huge coiled tail, and about him on all sides stretching away across the unseen floors, lay countless piles of precious things, gold wrought and unwrought, gems and jewels, and silver red-stained in the ruddy light. Smaug lay, with wings folded like an immeasurable bat, turned partly on one side, so that the hobbit could see his underparts and his long pale belly crusted with gems and fragments of gold from his long lying on his costly bed. Behind him where the walls were nearest could dimly be seen coats of mail, helms and axes, swords and spears hanging; and there in rows stood great jars and vessels filled with a wealth that could not be guessed."""
citation_tolkien_2,int_troll_tolkien,source_lotr,"""Appendix F""","""Trolls they were, but filled with the evil will of their master: a fell race, strong, agile, fierce and cunning, but harder than stone. Unlike the older race of the Twilight they could endure the Sun, so long as the will of Sauron held sway over them. They spoke little, and the only tongue that they knew was the Black Speech of Barad-dûr."""
citation_tolkien_3,int_elf_tolkien,source_lotr,"""Book 1""","""The doom of the Elves is to be immortal, to love the beauty of the world, to bring it to full flower with their gifts of delicacy and perfection, to last while it lasts, never leaving it even when slain."""
citation_topsell_1,int_manticore_topsell,source_history_of_four_footed_beasts,"""Volume 1, chapter: Of the Mantichora""","""This beast or rather Monster is bred among the Indians, having a treble row of teeth beneath and above, whose greatness, roughness, and feet are like a Lyon, his face and ears like unto a mans, his eyes gray, and colour red, his tail like the tail of a Scorpion, of the earth, armed with a sting, casting forth sharp pointed quils; his voyce like the voyce of a small Trumpet or Pipe, being in course as swift as a Hart; his wildeness such as can never be tamed, and his appetite is especially to the flesh of man. His body like the body of a Lyon, being very apt both to leap and to run,  so as no distance or space doth hinder him [...]."""