subject_id,subject_type,symbol_id,structure_id,regime_id,description
ability_accumulate_treasures,Ability,,MysticalStructure,NocturnalRegime,"""Trolls tend to accumulate treasures because they are attracted to the materiality of things. It represents a declination of Durand's mystical structures that focus on sensory attachment."""
ability_blindness,Ability,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The loss of vision, blindness, and the physical mutilation of the eyes are terrifying nyctomorphic symbols, representing the ultimate triumph of the void."""
ability_courage,Ability,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Courage belongs to the ascensional register of virile, heroic archetypes (the warrior, celestial royalty); it is the upward, transcendent virtue that confronts and rises above fear and the threat of time."""
ability_dance,Ability,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""Rhythmic, repetitive movement embodies the cyclical 'rhythmic constants that govern natural phenomena,' the patterned return that reconciles the imagination with passing time."""
ability_deadly_scream,Ability,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The lethal cry is formless sonic terror erupting from the unknown, enacting the nyctomorphic voracity of night that dissolves the listener into the abyss."""
ability_fire_breathing,Ability,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Fire-breathing is the consuming, devouring jaw of the beast, fitting the teriomorphic register of feral, annihilating chaos."""
ability_fly,Ability,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Flight enacts the same ascensional drive as the wing: an upward movement toward the pure, the divine, and the metaphysical heights, expressing the symbolic refusal of death through elevation"""
ability_healing_tears,Ability,IntimacySymbol,MysticalStructure,NocturnalRegime,"""Healing turns wound into refuge and harm into shelter, aligning the intimacy symbol's movement from the fear of being swallowed to the comfort of being contained."""
ability_hypnotic_gaze,Ability,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The entrancing gaze draws its victim down into shadow, sleep, and loss of self, enacting the nyctomorphic engulfment by darkness."""
ability_immortal,Ability,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Deathlessness expresses the ascensional refusal of mortality, the upward transcendence that escapes the degradation of time."""
ability_killing_gaze,Ability,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""A lethal power transmitted invisibly through the eyes, without weapon or bite, belongs to the nyctomorphic register: death arrives as formless, unseeable agency, the abyss looking back rather than a jaw striking."""
ability_petrifying_gaze,Ability,CatamorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Turning living flesh to stone is the catamorphic degradation of flesh: the body fixed, fallen, and hardened out of life."""
ability_poisonous,Ability,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Aggressive natural weaponry expresses the teriomorphic 'enemy symbol' of feral chaos and the bestial threat of the striking attack."""
ability_posing_riddles,Ability,DiareticSymbol,SchizomorphicStructure,DiurnalRegime,"""The riddle performs an intellectual diairesis, forcing the separation of truth from falsehood and embodying the diaretic drive toward analysis and absolute distinction."""
ability_self_destructive,Ability,CatamorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""A creature undone by its own internally contradictory nature enacts the catamorphic fall turned inward: degradation and death as the direct consequence of the body's own impossible composition."""
ability_self_renewal,Ability,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""Self-renewal is the cyclical symbol itself: death reintegrated as a necessary phase of an incessant movement in which every ending is the prelude to rebirth."""
ability_shapeshifting,Ability,InversionSymbol,MysticalStructure,NocturnalRegime,"""Shapeshifting enacts the inversive logic of transformation and doubling, by which a single being turns into its other."""
ability_sing,Ability,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""Song as harmonious, rhythmic utterance expresses the cyclical register of patterned, reassuring repetition."""
ability_skin_shedding,Ability,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""Periodically shedding skin symbolizes cyclical regeneration, renewal through repetition, and the eternal return, transforming apparent decay into the promise of rebirth."""
ability_speed,Ability,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Durand's scheme ties the teriomorphic directly to 'restlessness caused by rapid, undisciplined movement' and 'fleeing from devouring time,' making animal speed a near-definitional fit."""
ability_strength,Ability,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Heroic, virile strength belongs to the ascensional repertoire of warrior and royal archetypes, it indicates the power to overcome the forces of time."""
creature_basilisk,Creature,"TeriomorphicSymbol, NyctomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""The basilisk embodies both the theriomorphic archetype of predatory animality and the nyctomorphic terror of darkness and corruption. Its serpentine body and lethal gaze represent the ultimate expression of bestial destruction, while its poisonous breath and invisible lethality transform darkness into an active force of death. As an enemy of life, the basilisk materializes the fear of devouring chaos and unseen corruption."""
creature_bull,Creature,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The bull embodies the teriomorphic terror of untamed animality. The image of the “roaring bull” evokes deep-rooted human anxiety, alarm and the instinct to flee from violent, animated forces of nature."""
creature_centaur,Creature,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Across most sources the centaur's horse-lower-body dominates its symbolism: uncontrolled instinct, drunken violence, and predatory appetite erupting through the fragile veneer of human reason, placing the creature within the teriomorphic register of feral chaos, even where individual figures like Chiron invert this dominant."""
creature_cerberus,Creature,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Cerberus embodies the teriomorphic symbol of devouring jaws and feral chaos, guarding the threshold of the underworld against the passage of the living and the escape of the dead."""
creature_chimera,Creature,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The chimera is a paradigmatic teriomorphic monster across its sources, condensing multiple predatory jaws – lion, goat and serpent – into a single composite terror that the hero must confront and overcome."""
creature_eagle,Creature,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""The eagle is consistently ascensional across all its interpretations: soaring toward the sun, the heights, and the divine, it embodies verticality and the heroic escape from earthly gravity in Dante's justice, Ovid's rapture to Olympus, and the bestiary's renewal-flight."""
creature_giant,Creature,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Giants, in different interpretation, are symbols of the primordial chaos that needs to be reordered in order to bring balance to the universe. They stick to the nyctomorphic symbolism by representing the dark times of humanity. While in Attack on Titan this caos manifest as a terrifying voracitiy, where giands devour human bodies, in classical interpretation and art it is represented by the trauma of the fall and cosmic cataclysm. """
creature_hippogriff,Creature,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""As a winged, airborne composite, the hippogriff carries the ascensional symbolism of flight and elevation toward metaphysical heights"""
creature_mandrake,Creature,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The mandrake's lethal shriek, torn from the earth, is formless sonic terror erupting from the chthonic unknown, embodying the nyctomorphic voracity of darkness and the abyss."""
creature_manticore,Creature,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The manticore is teriomorphic through and through: its triple rows of teeth, devouring appetite for human flesh, and lion's body concentrate the predatory jaws and feral chaos that define the symbol across every source."""
creature_medusa,Creature,"CatamorphicSymbol, TeriomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""Medusa's defining power — turning flesh to stone — is catamorphic, the degradation and downward fixing of living flesh; her serpent-hair adds a teriomorphic register."""
creature_minotaur,Creature,"TeriomorphicSymbol, CatamorphicSymbol",SchizomorphicStructure,DiurnalRegime,"The Minotaur is fundamentally a teriomorphic symbol: its bull head embodies violent force, instinct, and uncontrolled movement, while its consumption of Athenian youths exemplifies the schema of the devouring jaws. The Minotaur carries also a catamorphic dimension through its inhabiting of the labyrinth, an enclosed descending structure symbolizing the fall into darkness, confusion and the unconscious."
creature_pegasus,Creature,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""The winged horse embodies the ascensional drive toward verticality and the heavens, the upward flight that transcends earthly gravity and time"""
creature_phoenix,Creature,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""The phoenix is the supreme cyclical symbol: its death-and-rebirth from ashes is the very image of the Eternal Return, where death is reintegrated as a stage of incessant renewal."""
creature_satyr,Creature,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Satyrs are lead by their primordial instinct. These creatures are brutally violent and they do not possess inhibitory brakes. Satyrs are only concern to dance, drink wine and engage in sexual activities."""
creature_troll,Creature,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Trolls live in hollow parts of the earth and dark caves. They are strictly connected with darkness, especially because if caught in the sun these creatures turn to stone. """
int_centaur_dante,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Dante's Chiron is set apart from the violent centaurs he commands: as wise guide and healer he channels his hybrid nature upward into knowledge and guardianship rather than downward into bestial appetite, an ascensional transcendence of the teriomorphic baseline.”"
int_centaur_ovid,Interpretation,"TeriomorphicSymbol, CatamorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""Eurytus and the centaurs in Ovid embody teriomorphic chaos as the instigators of the Centauromachia: the bestial appetite triggered by wine erupts into collective violence. The general fall from human rationality into bestial behavior represents also catamorphic descent, the degradation of the hybrid form downward into pure animal impulse."
int_centaur_rowling_harry,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""Firenze and his kind read the future in the stars, positioning the centaur as a creature of celestial vision and solar clarity; their role as guides and protectors of the Forbidden Forest is grounded in this spectacular, sky-watching wisdom rather than in bestial appetite."""
int_chimera_esiodo,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Hesiod places the chimera among the monstrous, shameful offspring of Typhon and Echidna, a primordial and violent chaos-being whose fire-breathing, multi-headed body is teriomorphic terror in its most concentrated, genealogical form."""
int_chimera_moreau,Interpretation,"AscensionalSymbol, NyctomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""Moreau's Chimera converts the threatening hybrid into an object of desire: winged and human above, bestial below, she fuses the ascensional pull of flight with a nyctomorphic undertow of obscurity and seduction, where fire and fang no longer signal attack but the dark, submerged allure of the abyss itself."""
int_chimera_omero,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""In the Iliad the chimera is an instrument of divine punishment and a deadly obstacle for Bellerophon, its dragon and serpent tail and goat head concentrating the teriomorphic register of violent, devouring animality that the hero must defeat."""
int_elf_moore,Interpretation,"IntimacySymbol, CyclicalSymbol",SyntheticStructure,NocturnalRegime,"""In Moore the elf is shrunk down to a tiny, non-threatening size following a cyclic symbol since it appears strictly at midnight on the winter solstice, directly tied to the calendar, the cold season, and the promise of festive renewal."""
int_elf_sturluson_1,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""In Sturluson the division of elves, the light-elves are ultimate spectacular symbols of solar clarity, floating high up in the branches of the world tree. In Tolkien they do not decay or wrinkle with time. They escape the 'gravitational pull' of human mortality."""
int_elf_sturluson_2,Interpretation,CatamorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""In Sturluson the division of elves, the dark-elves represent the catamorphic threat, living in subterranean depths where darkness swallows form"""
int_elf_tolkien,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""In Sturluson the division of elves, the light-elves are ultimate spectacular symbols of solar clarity, floating high up in the branches of the world tree. In Tolkien they do not decay or wrinkle with time. They escape the 'gravitational pull' of human mortality."""
int_fairy_celtic,Interpretation,Catamorphic Symbol,SchizomorphicStructure,DiurnalRegime,"""It is narrated how the faries are magestic magical beings that are defeated by humankind representing a catamorfic act. """
int_fairy_chaucer,Interpretation,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""Chauser narrates that the fairie's activities was ancing on green meadws representing classic cyclical symbol representing seasonal rhythms, community, and the fluid, unmapped magic of the old world."""
int_fairy_disney,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""In Peter Pan, Tinker Bell represents an ascensional symbol, without her dust characters cannot fly and are bound by the mortal gravity of growing up"""
int_fairy_perrault,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""Perrault changes the idea of the fairy into the goodmother fairy that  helps the hero with magical wand with spectacular transformations to help the hero against the evil forces """
int_hermaphrodite_aldrovandi,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Hermaphrodite is describe as a young man deprived from his masculinity becuase of his union with the nymph Salmace, who was desperately in love with him. This union happens inside a water source which traps him into a body with feminine characteristic, causing the loss of his masculine traits, adhering to the nyctomorphic symbolism of the mutilation."""
int_hermaphrodite_ovidius,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Hermaphrodite is describe as a young man deprived from his masculinity becuase of his union with the nymph Salmace, who was desperately in love with him. This union happens inside a water source which traps him into a body with feminine characteristic, causing the loss of his masculine traits, adhering to the nyctomorphic symbolism of the mutilation."""
int_hermaphrodite_plato,Interpretation,,MysticalStructure,NocturnalRegime,"""In Plato interpretation of the hermaphrodite, two opposites, men and women, share the same body forming a union. Eventually they are punished and separated through a traumatic cut, which lead the two parts to search for one another for the rest of their lives, recalling the mystical structure described by Durand. """
int_hermaphrodite_statue,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Hermaphrodite is describe as a young man deprived from his masculinity becuase of his union with the nymph Salmace, who was desperately in love with him. This union happens inside a water source which traps him into a body with feminine characteristic, causing the loss of his masculine traits, adhering to the nyctomorphic symbolism of the mutilation."""
int_hermaphrodite_swinburne,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Hermaphrodite is describe as a young man deprived from his masculinity becuase of his union with the nymph Salmace, who was desperately in love with him. This union happens inside a water source which traps him into a body with feminine characteristic, causing the loss of his masculine traits, adhering to the nyctomorphic symbolism of the mutilation."""
int_lion_aberdeen,Interpretation,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""In the bestiary the lion's cubs are born dead and revived on the third day by their father's breath, a figure of Christ's resurrection; this death-and-rebirth aligns the interpretation with the cyclical symbol of death reintegrated as a prelude to renewal."""
int_lion_apollodorus,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The Nemean lion is the invulnerable, devouring chaos-beast born of Typhon, the feral monster the hero must overcome; it concentrates the teriomorphic terror of predatory jaws and bestial violence."""
int_lion_dante,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The lion of Inferno I as pride/violence, the threatening beast that drives Dante back — the devouring obstacle."""
int_lion_maier,Interpretation,InversionSymbol,MysticalStructure,NocturnalRegime,"""In Maier's alchemical emblem the green lion is the prima materia undergoing transmutation, the conversion of base matter into the philosophical Stone; this turning of one nature into another belongs to the inversion symbol of transformation."""
int_mandrake_machiavelli,Interpretation,IntimacySymbol,MysticalStructure,NocturnalRegime,"""In Machiavelli's comedy the mandrake is reduced to a fertility potion, its generative power aligning with the intimacy symbol's nurturing, protective interior and the promise of the cradle."""
int_manticore_flaubert,Interpretation,"TeriomorphicSymbol, CatamorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""Flaubert preserves the teriomorphic devourer but adds a catamorphic register through its plague-breath and army-consuming death, the degradation and downward dissolution of bodies in the desert."""
int_minotaur_dante,Interpretation,"TeriomorphicSymbol, CatamorphicSymbol",SchizomorphicStructure,DiurnalRegime,"The Minotaur in Dante functions as a predominantly theriomorphic symbol of chaotic animality. His self-biting and self-lacerating rage exemplify the schema of devouring jaws turned inward: the beast consumes itself, becoming an image of violence that is both destructive and self-destructive. At the same time, Dante intensifies the symbol through a catamorphic register. The creature is located in the descending geography of Hell and is linked to the fall from reason into brute impulse. "
int_minotaur_gospodinov,Interpretation,"InversionSymbol, IntimacySymbol",MysticalStructure,NocturnalRegime,"""Gospodinov inverts the teriomorphic monster into a figure of intimacy: the terrifying beast as abandoned child alone and vulnerable at the center of the labyrinth, self sheltering within interiority. The labyrinth functions as an intimacy symbol, the cradle of abandoned childhood memory where time folds back on itself, allowing chilhood and present to coexist."
int_ogre_chretien,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Chretién ogre is the example of a Tereomorphic treat since is represented as the absolute manifestation of the Nocturnal terror of death bestial, brutal, acting on raw flesh-eating impulses. """
int_ogre_shrek,Interpretation,InversionSymbol,MysticalStructure,NocturnalRegime,"""Shrek is the example of inversion symbols whre the monstrous ogre is actually the protector of peace, while the noble prince (Farquaad) is a insecure tyrant. """
int_pegaso_barbie,Interpretation,IntimacySymbol,MysticalStructure,NocturnalRegime,"""In Barbie Pegasus is not the wild beast but an enchated woman where the kingndom of the clouds are a safe and farytale santuary and the events follow an intimate space."""
int_pegaso_cantimpre,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""Cantimpré views Pegasus as a spectacular symbol, of the human soul  who rises above earthly temptations through virtues, since in the medieval tradition, wings represent spiritual elevation and moving away from sin."""
int_pegaso_esiodo,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Pegasus represents the ascensional symbol since it is an explosion of solar light out of primordial darkness (medusa head), it rejects the heavy, muddy earth, soaring straight to Mount Olympus."""
int_siren_andersen,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""The siren in Anderson's tale desires to become a human being to be able to live after death throughout her immortal spirit, which ascends to heaven."""
int_siren_anonymous,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Sirens are scary creatures that live in the ocean depths. They are described as temptresses that seduce sailors with their sweet voice. Sirens are often associated to death demons whose seduction leads to death """
int_siren_musker_clements,Interpretation,,MysticalStructure,NocturnalRegime,"""In the movie 'The Little SIren' the authors reverse the brutality of the original Anderson's tale, rewriting the images of terror into a positive happy ending. Through this euphemization of danger, the main character's voicr is not mutilated but safely kept in a shell. This inversion allows her to reach her dream of becoming a human and marrying the prince she fell in love with."""
int_siren_omero,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Sirens are scary creatures that live in the ocean depths. They are described as temptresses that seduce sailors with their sweet voice. Sirens are often associated to death demons whose seduction leads to death """
int_siren_ovidius,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Ovidio tells the story of sirens as creatures whose were gifted wings from the Gods to be able to search Persefone, kidnapped by Ade. In this interpretation they symbolize the conquering of a new power."""
int_snake_aberdeen,Interpretation,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""The snake's sloughing of its old skin to regain youth, allegorized as the believer shedding the 'old self' for new life, embodies the cyclical symbol of renewal where casting off the old is the condition of rebirth."""
int_snake_dante,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Dante's serpents bite, poison, and devour the thieves, instruments of an animal terror that dissolves human identity; the biting, venomous reptile is the teriomorphic beast par excellence."""
int_snake_ovid,Interpretation,InversionSymbol,MysticalStructure,NocturnalRegime,"""Cadmus and Harmonia are transformed into serpents, a metamorphosis that converts human into animal while memory and love survive; this doubling and conversion of form is the inversion symbol."""
int_snake_ovid_2,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The serpent of Mars is a giant, fire-eyed, venom-swollen guardian with triple rows of teeth that devours Cadmus's men; it is a pure teriomorphic chaos-monster."""
int_sphinx_apollodoro,Interpretation,"DiareticSymbol, TeriomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""The Theban sphinx fuses the diaretic riddle - the intellectual cut that separates truth from death - with the teriomorphic terror of the devouring monster who consumes those who fail to answer"""
int_sphinx_egypt,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""The Egyptian sphinx is a spectacular symbol: a solar, luminous guardian whose monumental gaze embodies the heroic clarity and royal vision that define and command the world."""
int_sphinx_ende,Interpretation,"DiareticSymbol, TeriomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""In Ende's tale the sphinxes are diaretic riddle-gates whose challenge separates the worthy from the unworthy, fused with the teriomorphic lethality of their deadly, devouring gaze."""
int_sphinx_plinio,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""Pliny's sphinx carries the spectacular symbolism of the luminous, solar creature observed as a marvel, its presence belonging to the register of clear vision and heroic light."""
int_sphinx_rowling_fantastic,Interpretation,DiareticSymbol,SchizomorphicStructure,DiurnalRegime,"""Rowling's sphinx is a diaretic guardian: it poses the riddle as an act of intellectual division and separation, testing the seeker without the devouring violence of its Theban ancestor."""
int_unicorn_cantimpre,Interpretation,InversionSymbol,SyntheticStructure,NocturnalRegime,"""In Cantimpré the meaning of unicorn changes in the theological allegory,  following inversion symbols where the violent capture and killed of the unicorn in the lap of the virgin so it can save mankind"""
int_unicorn_ctesias,Interpretation,DiareticSymbol,SchizomorphicStructure,DiurnalRegime,"""Ctesias unicorn is a diaretic symbol, he describes it as a fiernce beast with ta sharp weapon, the horn long one foot that custs everything in its path yet he narrates that the horn has the power of cleanig water from poisons. """
int_unicorn_isidor,Interpretation,IntimacySymbol,MysticalStructure,NocturnalRegime,"""Isidore writes that the unicorn is so strong no hunter can catch it, however when the virgin girl approaches, the beast forgets its ferocity, lays its head in her lap, and falls asleep and it can be captured following a intimacy scene. """
part_horn,AnatomicalPart,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""The horn rises vertically toward the heavens, aligning with ascensional verticality and the purifying, transcendent power traditionally attached to it."""
part_snake_hair,AnatomicalPart,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The snake is a teriomorphic animal in Durand's Imaginary, and Medusa's writhing serpent-locks embed feral, biting animal terror directly into the body."""
part_three_lines_of_teeth,AnatomicalPart,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The triple rows of teeth are the paradigmatic teriomorphic image of predatory jaws 'ready to strike,' concentrating the symbol's devouring, feral chaos."""
part_wings,AnatomicalPart,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Wings are the ascensional instrument par excellence: in Durand's scheme they directly contradict gravity and embody the heroic upward flight away from temporal degradation. Durand names the wing explicitly as 'the ascensional instrument that contradicts gravity,' making this the textbook case."""