genesis_id,interpretation_id,involves_parent,siblings,genesis_description
genesis_anomaly_paré_1,int_anomaly_paré_1,,,"""Paré includes the creature among his examples of monsters created by the imagination. According to his description, the hairy girl was born because her mother looked for too long at a painting."""
genesis_anomaly_paré_3,int_anomaly_paré_3,,,"""Paré includes the creature among his examples of monsters created by the absence of seed."""
genesis_anomaly_paré_4,int_anomaly_paré_4,,,"""Paré includes the creature among his examples of monsters createy by an excessive quantity of seed."""
genesis_basilisk_lucano,int_basilisk_lucano,creature_medusa,,"""Sprung from the blood of Medusa's severed head as Perseus carried it in flight over Libya; one among the many venomous serpents born from those drops."""
genesis_basilisk_theophilus,int_basilisk_theophilus,,,"""Hatched from a yolkless egg laid by an old cock, incubated by a toad in place of the natural mother."""
genesis_centaur_ovid,int_centaur_ovid,myth_ixion;myth_nephele,,"""Descended from the union of Ixion with Nephele, a cloud shaped by Zeus in the likeness of Hera to deceive Ixion."""
genesis_cerberus_esiodo,int_cerberus_esiodo,myth_echidna;myth_typhon,creature_chimera,"""Offspring of Echidna and Typhon, one of the monstrous brood born to the two primordial serpent-giants."""
genesis_chimera_esiodo,int_chimera_esiodo,myth_echidna;myth_typhon,creature_sphinx,"""Offspring of Echidna and Typhon, one of the monstrous brood born to the two primordial serpent-giants."""
genesis_chimera_fullmetal,int_chimera_fullmetal_alchemist,,creature_sphinx,"""Produced through human transmutation, a forbidden alchemical act combining two base organisms into a new composite creature."""
genesis_giant_teogonia,int_giant_teogonia,myth_uranus;myth_gaia,,"""Sprang from Gaia (Earth) after she was fertilised by the blood of Uranus's castration."""
genesis_hermaphrodite_ovidius,int_hermaphrodite_ovidius,myth_hermes;myth_aphrodite,,"""Child of Hermes and Aphrodite, originally a male youth of great beauty. Fused into a single dual-sexed body with the nymph Salmacis after she embraced him in her pool and prayed never to be parted from him."""
genesis_medusa_esiodo,int_medusa_esiodo,myth_phorcys;myth_ceto,,"""Daughter of the ancient sea deities Phorcys and Ceto, one of the three Gorgon sisters."""
genesis_medusa_ovid,int_medusa_ovid,,,"""Originally a beautiful mortal maiden, transformed into a monstrous Gorgon as punishment by Athena after being violated by Poseidon within Athena's temple."""
genesis_minotaur_ovidius,int_minotaur_ovidius,myth_pasiphae;creature_bull,,"""Born of Queen Pasiphae's union with the Cretan Bull, an offspring bearing the head of a bull upon a man's body."""
genesis_mostro_paré_1,int_mostro_paré_1,,,"""Paré includes the creature among his examples of monsters created by God's rage. He recounts the story of Pope Julius II, arguing that the Pope provoked divine anger by waging war against Louis XII."""
genesis_mostro_paré_3,int_mostro_paré_3,,,"""Paré includes the creature among his examples of monsters created by 'commistion des semences', the mixing of seed. This creatures is generated by a human and a dog."""
genesis_pegaso_esiodo,int_pegaso_esiodo,creature_medusa,,"""Sprang, together with his brother Chrysaor, from the neck of Medusa at the moment of her beheading by Perseus."""
genesis_phoenix_claudio,int_phoenix_claudio,creature_phoenix,,"""The Phoenix is not born of parents but self-immolates upon a pyre of aromatic wood at the end of its life cycle to be reborn from its own ashes."""
genesis_siren_ovidius,int_siren_ovidius,myth_achelous,,"""Daughters of the river god Achelous and originally companions of Persephone. They were transformed into part-bird creatures at their own request, so that they might search the world by both land and sea for the abducted Persephone."""
genesis_sphinx_apollodoro,int_sphinx_apollodoro,myth_echidna;myth_typhon,creature_chimera,"""Daughter of Echidna and Typhon, sent to Thebes as an instrument of divine punishment."""