narrative_function_id,related_to,has_meaning
function_agent,function_weapon,"""The creature acts as the instrument of another's will, carrying out a god's or character's purpose."""
function_antagonist,function_obstacle,"""The creature opposes the protagonist as an active adversary to be confronted or overcome."""
function_apotropaic,,"""The creature, or its image, serves to ward off evil and protect against harm."""
function_exemplum,,"""The creature functions as a moral or didactic example, illustrating a lesson or spiritual truth."""
function_guardian,"function_apotropaic, function_obstacle","""The creature protects a place, treasure, or person, guarding a threshold or boundary against intruders."""
function_guide,,"""The creature leads, accompanies, or directs the protagonist, offering aid or direction on their path."""
function_obstacle,"function_antagonist, function_guardian","""The creature blocks the protagonist's progress as a barrier to be passed, without necessarily acting as a personal enemy."""
function_punisher,,"""The creature enacts punishment or retribution, serving as the instrument of justice or contrapasso."""
function_protector,,"""The creature shields and safeguards a person or place from harm, actively defending its charge against threats"""
function_sacred_symbol,,"""The creature functions as a venerated emblem or sign of the sacred, divine, or transcendent."""
function_transformation,,"""The creature embodies or undergoes metamorphosis, the change of form that is itself the narrative event."""
function_weapon,function_agent,"""The creature is deployed as an instrument of war or destruction, a tool of power wielded against others."""
function_instigator,function_antagonist,"""The creature's own action precipitates a conflict or catastrophe, setting events in motion through its own transgression."""