subject_id,subject_type,concept_id,description
part_wings,AnatomicalPart,ascensional_symbol,"Wings are the ascensional instrument par excellence: in Durand's scheme they directly contradict gravity and embody the heroic upward flight away from temporal degradation. Durand names the wing explicitly as ""the ascensional instrument that contradicts gravity,"" making this the textbook case."
ability_fly,Ability,ascensional_symbol,"Flight enacts the same ascensional drive as the wing: an upward movement toward the pure, the divine, and the metaphysical heights, expressing the symbolic refusal of death through elevation"
part_three_lines_of_teeth,AnatomicalPart,teriomorphic_symbol,"The triple rows of teeth are the paradigmatic teriomorphic image of predatory jaws ""ready to strike,"" concentrating the symbol's devouring, feral chaos."
part_snake_hair,AnatomicalPart,teriomorphic_symbol,"The snake is a teriomorphic animal in Durand's Imaginary, and Medusa's writhing serpent-locks embed feral, biting animal terror directly into the body."
ability_self-renewal,Ability,cyclical_symbol,Self-renewal is the cyclical symbol itself: death reintegrated as a necessary phase of an incessant movement in which every ending is the prelude to rebirth.
ability_immortal,Ability,ascensional_symbol,"Deathlessness expresses the ascensional refusal of mortality, the upward transcendence that escapes the degradation of time."
ability_strenght,Ability,ascensional_symbol,"Heroic, virile strenght belongs to the ascensional repertoire of warrior and royal archetypes, it indicates the power to overcome the forces of time."
ability_deadly_scream,Ability,nyctomorphic_symbol,"The lethal cry is formless sonic terror erupting from the unknown, enacting the nyctomorphic voracity of night that dissolves the listener into the abyss."
ability_petrifying_gaze,Ability,catamorphic_symbol,"Turning living flesh to stone is the catamorphic degradation of flesh: the body fixed, fallen, and hardened out of life."
ability_poisonous,Ability,teriomorphic_symbol,"Aggressive natural weaponry expresses the teriomorphic ""enemy symbol"" of feral chaos and the bestial threat of the striking attack."
ability_dance,Ability,cyclical_symbol,"Rhythmic, repetitive movement embodies the cyclical ""rhythmic constants that govern natural phenomena,"" the patterned return that reconciles the imagination with passing time."
ability_fire_breathing,Ability,teriomorphic_symbol,"Fire-breathing is the consuming, devouring jaw of the beast, fitting the teriomorphic register of feral, annihilating chaos."
part_horn,AnatomicalPart,ascensional_symbol,"The horn rises vertically toward the heavens, aligning with ascensional verticality and the purifying, transcendent power traditionally attached to it."
ability_posing_riddles,Ability,diaretic_symbol,"The riddle performs an intellectual diairesis, forcing the separation of truth from falsehood and embodying the diaretic drive toward analysis and absolute distinction."
ability_speed,Ability,teriomorphic_symbol,"Durand's scheme ties the teriomorphic directly to ""restlessness caused by rapid, undisciplined movement"" and ""fleeing from devouring time,"" making animal speed a near-definitional fit."
ability_healing_tears,Ability,intimacy_symbol,"Healing turns wound into refuge and harm into shelter, aligning the intimacy symbol's movement from the fear of being swallowed to the comfort of being contained."
ability_sing,Ability,cyclical_symbol,"Song as harmonious, rhythmic utterance expresses the cyclical register of patterned, reassuring repetition."
ability_hypnotic_gaze,Ability,nyctomorphic_symbol,"The entrancing gaze draws its victim down into shadow, sleep, and loss of self, enacting the nyctomorphic engulfment by darkness."
ability_shapeshifting,Ability,inversion_symbol,"Shapeshifting enacts the inversive logic of transformation and doubling, by which a single being turns into its other."
creature_phoenix,Creature,cyclical_symbol,"The phoenix is the supreme cyclical symbol: its death-and-rebirth from ashes is the very image of the Eternal Return, where death is reintegrated as a stage of incessant renewal."
creature_pegasus,Creature,ascensional_symbol,"The winged horse embodies the ascensional drive toward verticality and the heavens, the upward flight that transcends earthly gravity and time"
creature_hippogriff,Creature,ascensional_symbol,"As a winged, airborne composite, the hippogriff carries the ascensional symbolism of flight and elevation toward metaphysical heights"
creature_medusa,Creature,"catamorphic_symbol, teriomorphic_symbol","Medusa's defining power — turning flesh to stone — is catamorphic, the degradation and downward fixing of living flesh; her serpent-hair adds a teriomorphic register."
creature_mandrake,Creature,nyctomorphic_symbol,"The mandrake's lethal shriek, torn from the earth, is formless sonic terror erupting from the chthonic unknown, embodying the nyctomorphic voracity of darkness and the abyss."
int_mandrake_machiavelli,Interpretation,intimacy_symbol,"In Machiavelli's comedy the mandrake is reduced to a fertility potion, its generative power aligning with the intimacy symbol's nurturing, protective interior and the promise of the cradle."
creature_manticore,Creature,teriomorphic_symbol,"The manticore is teriomorphic through and through: its triple rows of teeth, devouring appetite for human flesh, and lion's body concentrate the predatory jaws and feral chaos that define the symbol across every source."
int_manticore_flaubert,Interpretation,"teriomorphic_symbol, catamorphic_symbol","Flaubert preserves the teriomorphic devourer but adds a catamorphic register through its plague-breath and army-consuming death, the degradation and downward dissolution of bodies in the desert."
int_sphinx_egypt,Interpretation,spectacular_symbol,"The Egyptian sphinx is a spectacular symbol: a solar, luminous guardian whose monumental gaze embodies the heroic clarity and royal vision that define and command the world."
int_sphinx_apollodoro,Interpretation,"diaretic_symbol, teriomorphic_symbol",The Theban sphinx fuses the diaretic riddle - the intellectual cut that separates truth from death - with the teriomorphic terror of the devouring monster who consumes those who fail to answer
int_sphinx_rowling_fantastic,Interpretation,diaretic_symbol,"Rowling's sphinx is a diaretic guardian: it poses the riddle as an act of intellectual division and separation, testing the seeker without the devouring violence of its Theban ancestor."
int_sphinx_plinio,Interpretation,spectacular_symbol,"Pliny's sphinx carries the spectacular symbolism of the luminous, solar creature observed as a marvel, its presence belonging to the register of clear vision and heroic light."
int_sphinx_ende,Interpretation,"diaretic_symbol, teriomorphic_symbol","In Ende's tale the sphinxes are diaretic riddle-gates whose challenge separates the worthy from the unworthy, fused with the teriomorphic lethality of their deadly, devouring gaze."
ability_courage,Ability,ascensional_symbol,"Courage belongs to the ascensional register of virile, heroic archetypes (the warrior, celestial royalty); it is the upward, transcendent virtue that confronts and rises above fear and the threat of time."
creature_eagle,Creature,ascensional_symbol,"The eagle is consistently ascensional across all its interpretations: soaring toward the sun, the heights, and the divine, it embodies verticality and the heroic escape from earthly gravity in Dante's justice, Ovid's rapture to Olympus, and the bestiary's renewal-flight."
int_lion_apollodorus,Interpretation,teriomorphic_symbol,"The Nemean lion is the invulnerable, devouring chaos-beast born of Typhon, the feral monster the hero must overcome; it concentrates the teriomorphic terror of predatory jaws and bestial violence."
int_lion_aberdeen,Interpretation,cyclical_symbol,"In the bestiary the lion's cubs are born dead and revived on the third day by their father's breath, a figure of Christ's resurrection; this death-and-rebirth aligns the interpretation with the cyclical symbol of death reintegrated as a prelude to renewal."
int_lion_maier,Interpretation,inversion_symbol,"In Maier's alchemical emblem the green lion is the prima materia undergoing transmutation, the conversion of base matter into the philosophical Stone; this turning of one nature into another belongs to the inversion symbol of transformation."
int_lion_dante,Interpretation,teriomorphic_symbol,"The lion of Inferno I as pride/violence, the threatening beast that drives Dante back — the devouring obstacle."
int_snake_dante,Interpretation,teriomorphic_symbol,"Dante's serpents bite, poison, and devour the thieves, instruments of an animal terror that dissolves human identity; the biting, venomous reptile is the teriomorphic beast par excellence."
int_snake_ovid,Interpretation,inversion_symbol,"Cadmus and Harmonia are transformed into serpents, a metamorphosis that converts human into animal while memory and love survive; this doubling and conversion of form is the inversion symbol."
int_snake_ovid_2,Interpretation,teriomorphic_symbol,"The serpent of Mars is a giant, fire-eyed, venom-swollen guardian with triple rows of teeth that devours Cadmus's men; it is a pure teriomorphic chaos-monster."
int_snake_aberdeen,Interpretation,cyclical_symbol,"The snake's sloughing of its old skin to regain youth, allegorized as the believer shedding the ""old self"" for new life, embodies the cyclical symbol of renewal where casting off the old is the condition of rebirth."
int_siren_andersen,Interpretation,ascensional_symbol,"The siren in Anderson's tale desires to become a human being to be able to live after death throughout her immortal spirit, which ascends to heaven."
creature_siren,Creature,nyctomorphic_symbol,Sirens are scary creatures that live in the ocean depths. They are described as temptresses that seduce sailors with their sweet voice. Sirens are often associated to death demons whose seduction leads to death 
creature_satyr,Creature,teriomorphic_symbol,"Satyrs are lead by their primordial instinct. These creatures are brutally violent and they do not possess inhibitory brakes. Satyrs are only concern to dance, drink wine and engage in sexual activities."
creature_giant,Creature,catamorphic_symbol,
creature_troll,Creature,nyctomorphic_symbol,
creature_hermaphrodite,Creature,,